ts_code,freq,quantile,pct_gain_1p,pct_gain_2p,pct_gain_3p,pct_gain_5p,pct_loss_1p,pct_loss_2p,pct_loss_3p,pct_loss_5p,top_or_bottom,period
000004.SZ,D,0.5,9.45,14.57,18.08,24.84,-5.225,-9.26,-12.395,-17.065,B,34
000004.SZ,D,0.75,18.2375,28.3375,36.8925,54.65,-0.4225,-2.155,-3.3925,-5.495,B,34
000004.SZ,D,0.9,30.977,52.092,69.063,104.65,0,0,0,0,B,34
000004.SZ,D,0.1,0,0,0,0.34,-22.976,-33.126,-38.396,-45.52,T,34
000004.SZ,D,0.25,0.47,2.37,3.92,7.31,-15.1,-21.32,-25.86,-32.67,T,34
000004.SZ,D,0.5,6.27,11.56,15.12,21.55,-8.04,-12.07,-15.08,-19.61,T,34
000004.SZ,D,0.75,15.14,24.85,32.49,47.64,-3.59,-5.35,-6.8,-8.82,T,34
000004.SZ,D,0.9,26.392,44.918,63.354,97.74,-1.01,-1.736,-2.266,-3.096,T,34
000005.SZ,D,0.1,0.642,1.082,1.344,1.74,-18.034,-27.46,-34.212,-44.428,B,34
000005.SZ,D,0.25,2.24,3.215,4.06,5.165,-11.2,-17.165,-21.245,-28.415,B,34
000005.SZ,D,0.5,6.19,8.84,10.57,13.25,-4.88,-9.44,-12.6,-18.01,B,34
000005.SZ,D,0.75,14.11,19.795,25.79,34.12,-0.75,-2.87,-4.91,-8.1,B,34
000005.SZ,D,0.9,26.346,40.826,50,75.784,0,0,0,-0.452,B,34
000005.SZ,D,0.1,0,0,0,0,-20.499,-30.504,-37.7,-45.387,T,34
000005.SZ,D,0.25,0,0.8275,1.575,2.4375,-13.6825,-19.12,-23.93,-30.6925,T,34
000005.SZ,D,0.5,3,5.525,7.67,10.785,-7.86,-11.82,-15.045,-20.27,T,34
000005.SZ,D,0.75,9.82,15.3925,21.075,30.2375,-3.5,-5.605,-8.09,-10.8775,T,34
000005.SZ,D,0.9,21.032,34.433,44.088,71.553,-1.249,-1.94,-2.925,-3.879,T,34
000006.SZ,D,0.1,0.59,1.356,1.626,2.538,-18.266,-25.252,-29.724,-38.004,B,34
000006.SZ,D,0.25,2.8,4.515,5.51,7.655,-10.315,-15.36,-19.185,-25.87,B,34
000006.SZ,D,0.5,7.55,11.45,14.44,19.47,-4.9,-8.64,-11.24,-15,B,34
000006.SZ,D,0.75,15.195,23.24,30.585,43.005,-0.73,-2.465,-4.175,-5.82,B,34
000006.SZ,D,0.9,28.466,42.678,63.542,90.476,0,0,0,-0.426,B,34
000006.SZ,D,0.1,0,0,0,0,-20.736,-27.696,-32.872,-41.994,T,34
000006.SZ,D,0.25,0.2,1.35,2.25,4.04,-12.76,-18.66,-21.7,-27.71,T,34
000006.SZ,D,0.5,4.11,8.06,10.64,15.73,-7.69,-11.32,-13.86,-17.39,T,34
000006.SZ,D,0.75,12.12,19.53,26.39,39.16,-3.42,-5.19,-6.85,-8.85,T,34
