ts_code,freq,quantile,pct_gain_1p,pct_gain_2p,pct_gain_3p,pct_gain_5p,pct_loss_1p,pct_loss_2p,pct_loss_3p,pct_loss_5p,top_or_bottom,period
000006.SZ,W,0.5,15.22,24.96,29.27,43.66,-10.13,-15.64,-20.22,-25.7,B,144
000006.SZ,W,0.75,36.32,59.08,72.23,122.47,-1.68,-3.62,-6.18,-10.48,B,144
000006.SZ,W,0.9,69.246,151.178,208.816,335.972,0,0,0,-0.318,B,144
000006.SZ,W,0.1,0,0,0,0,-34.486,-48.95,-59.208,-70.536,T,144
000006.SZ,W,0.25,0.28,3.81,6.29,10.49,-23.82,-33.74,-41.44,-49.73,T,144
000006.SZ,W,0.5,8.46,18.12,23.74,38.26,-13.92,-19.17,-23.66,-28.57,T,144
000006.SZ,W,0.75,27.17,46.68,64.34,128.67,-7.26,-10.19,-12,-14.37,T,144
000006.SZ,W,0.9,59.804,136.756,199.12,306.96,-1.752,-3.118,-4.832,-6.348,T,144
000007.SZ,W,0.1,0.638,1.375,1.623,2.921,-37.191,-55.286,-60.003,-66.127,B,144
000007.SZ,W,0.25,5.2875,9.365,12.38,15.94,-23.23,-34.3825,-47.3775,-57.2525,B,144
000007.SZ,W,0.5,17.105,27.245,34.89,44.225,-10.02,-18.635,-25.08,-31.605,B,144
000007.SZ,W,0.75,37.575,56.93,67.02,103.08,-1.8025,-6.8175,-8.43,-13.7325,B,144
000007.SZ,W,0.9,66.081,108.978,145.68,258.508,0,0,0,-0.243,B,144
000007.SZ,W,0.1,0,0,0,0,-44.194,-56.636,-62.066,-68.46,T,144
000007.SZ,W,0.25,0.09,2.72,5.02,6.71,-27.97,-38.31,-50,-59.78,T,144
000007.SZ,W,0.5,8.73,16.92,25,37.83,-16.03,-25,-30.2,-36.4,T,144
000007.SZ,W,0.75,24.68,44.52,52.89,89.14,-6.89,-12.41,-14.75,-21.8,T,144
000007.SZ,W,0.9,52.056,75.792,110.632,267.8,-1.552,-4.67,-4.946,-8.67,T,144
000008.SZ,W,0.1,0,1.789,1.88,2.249,-41.573,-57.288,-67.038,-82.176,B,144
000008.SZ,W,0.25,5.4375,7.34,7.9075,9.53,-21.985,-34.315,-44.33,-58.9425,B,144
000008.SZ,W,0.5,14.33,25.06,32.445,48.635,-11.255,-17.215,-21.99,-31.745,B,144
000008.SZ,W,0.75,44.775,65.165,92.165,160.1175,-2.085,-6.9725,-8.875,-13.7025,B,144
000008.SZ,W,0.9,72.665,154.505,217.45,384.425,0,0,0,-1.359,B,144
000008.SZ,W,0.1,0,0,0,0,-42.016,-56.672,-66.53,-79.582,T,144
000008.SZ,W,0.25,0,1.32,2.45,5.05,-28.24,-38.94,-46.75,-57.88,T,144
000008.SZ,W,0.5,7.18,14.83,20.06,40.6,-16.59,-22.2,-26.88,-33.45,T,144
000008.SZ,W,0.75,27.73,49.86,71.15,130.73,-8.32,-12.6,-13.21,-18.91,T,144
000008.SZ,W,0.9,65.29,128.064,180.888,300.854,-3.128,-4.98,-5.948,-7.466,T,144
000009.SZ,W,0.1,0.554,0.934,1.245,2.764,-31.961,-46.918,-57.914,-63.814,B,144
000009.SZ,W,0.25,3.815,6.5425,8.585,13.9175,-21.7725,-33.3575,-39.9,-52.3925,B,144
000009.SZ,W,0.5,17.14,29.295,35.41,47,-11.565,-18.7,-24.29,-32.705,B,144
000009.SZ,W,0.75,39.5,72.3,102.56,162.3425,-1.4425,-6.205,-9.145,-10.9125,B,144
000009.SZ,W,0.9,83.54,151.909,207.232,295.49,0,0,-0.25,-0.81,B,144
000009.SZ,W,0.1,0,0,0,0,-38.493,-51.656,-60.234,-66.346,T,144
000009.SZ,W,0.25,0.34,2.1375,3.26,6.3325,-27.15,-37.795,-44.1275,-57.0725,T,144
000009.SZ,W,0.5,8.665,18.64,26.86,37.24,-16.34,-24.005,-29.415,-37.305,T,144
000009.SZ,W,0.75,29.2075,58.975,90.865,161.1525,-8.015,-11.355,-14.9125,-16.1925,T,144
000009.SZ,W,0.9,75.394,152.622,186.459,267.507,-2.394,-3.96,-5.176,-6.517,T,144
000010.SZ,W,0.1,0.276,1.774,3.276,3.522,-33.1,-42.808,-53.254,-62.462,B,144
000010.SZ,W,0.25,5.65,9.31,10.51,10.69,-24.26,-31.75,-39.83,-52.54,B,144
000010.SZ,W,0.5,14.72,23.41,27.07,30.26,-10.79,-18.51,-25.64,-31.92,B,144
000010.SZ,W,0.75,35.41,57.47,78.07,94.51,-1.04,-5.03,-6.65,-11.14,B,144
000010.SZ,W,0.9,61.48,112.688,159.838,216.93,0,0,0,0,B,144
000010.SZ,W,0.1,0,0,0,0,-40.195,-47.36,-54.195,-65.135,T,144
000010.SZ,W,0.25,0.685,3.525,5.08,5.58,-27.48,-35.3825,-42.24,-54.2525,T,144
000010.SZ,W,0.5,8.9,18.39,22.63,25.735,-15.485,-23.62,-28.125,-35.62,T,144
000010.SZ,W,0.75,26.365,46.0925,60.0975,84.1175,-6.8525,-8.9625,-12.335,-17.355,T,144
000010.SZ,W,0.9,53.15,90.08,129.82,161.555,-1.065,-2.26,-3.35,-5.11,T,144
