"ts_code","predict","persist","elapsed"
"000001.SZ","13.98","0.08","14.06"
"000002.SZ","1.37","0.01","1.39"
"000004.SZ","2.39","0.01","2.41"
"000006.SZ","1.17","0.01","1.18"
"000007.SZ","1.78","0.01","1.78"
"000008.SZ","1.09","0.02","1.11"
"000009.SZ","1.01","0.01","1.03"
"000010.SZ","1.79","0.01","1.8"
"000011.SZ","1.11","0.02","1.13"
"000012.SZ","1.78","0.01","1.79"
"000014.SZ","1.12","0.01","1.13"
"000016.SZ","1.65","0.01","1.66"
"000017.SZ","1.09","0.02","1.11"
"000019.SZ","1.75","0.01","1.75"
"000020.SZ","1.78","0.01","1.79"
"000021.SZ","1.72","0.02","1.73"
"000025.SZ","1.13","0.01","1.14"
"000026.SZ","1.2","0.01","1.2"
"000027.SZ","1.12","0.01","1.13"
"000028.SZ","0.97","0.01","0.98"
